,sentence,label
70,"And this revenue is mostly on click to Messenger today since we started there first, but click to WhatsApp just passed a $1.5 billion run rate and growing more than 80% year-over-year.",positive
71,Paid messaging is another opportunity that we are starting to tap into.,positive
72,"And it continues to grow quickly, but from a smaller base.",positive
73,"We are putting the foundation in place now to scale this with key partnerships like Salesforce, which lets all businesses on their platform use WhatsApp as the main messaging service to answer customer questions and updates and sell directly in chat.",positive
74,"And we also launched JioMart on WhatsApp in India, and it’s our first end-to-end shopping experience that shows the potential for chat-based commerce through messaging.",positive
75,"So between click-to-messaging and paid messaging, I am confident that this is going to be a big opportunity.",positive
76,The last area that I want to discuss today is the metaverse.,neutral
77,"We just had our Connect conference and announced Quest Pro, which we just started shipping.",positive
78,It’s our new high-end VR headset that delivers high-resolution mixed reality so you can blend virtual objects into the physical environment around you.,positive
79,"It’s pretty amazing when you see it, and it’s going to enable all kinds of new experiences and socializing, gaming, fitness and work.",positive
80,And I am really looking forward to seeing what people build with this new capability.,positive
81,Work in the metaverse is a big theme for Quest Pro.,neutral
82,"There are 200 million people who get new PCs every year, mostly for work.",neutral
83,And our goal for the Quest Pro line over the next several years is to enable more and more of these people to get their work done in virtual and mixed reality eventually even better than they could on PCs.,neutral
84,"And to deliver a great work and productivity experience, I am excited about the partnerships that we announced with Microsoft, bringing their suite of productivity and enterprise management services to Quest; Adobe and Autodesk bringing their creative tools; Zoom bringing their communication platform; Accenture building solutions for enterprises and more.",positive
85,"There is still a long road ahead to build the next computing platform, but we are clearly doing leading work here.",positive
86,This is a massive undertaking.,positive
87,"And it’s often going to take a few versions of each product before they become mainstream, but I think that our work here is going to be of historic importance and create the foundation for an entirely new way that we will interact with each other and blend technology into our lives as well as the foundation for the long-term of our business.",positive
88,"So between the AI discovery engine, our ads and business messaging platforms and our future vision for the metaverse, those are three of the areas that we are focused on.",neutral
89,"I believe that the tougher prioritization, discipline and efficiency that we are driving across the organization will help us navigate the current environment and emerge an even stronger company.",positive
90,"As always, I am grateful to everyone at Meta for your hard work and to all of you for being on this journey with us.",neutral
91,"And with that, I am going to turn it over to Dave.",neutral
92,"Dave Wehner Thanks, Mark and good afternoon, everyone.",neutral
93,Let’s begin with our consolidated results.,neutral
94,"All comparisons are on a year-over-year basis, unless otherwise noted.",neutral
95,"Q3 total revenue was $27.7 billion, down 4% or up 2% on a constant currency basis.",negative
96,"Had foreign exchange rates remained constant with Q3 of last year, total revenue would have been approximately $1.8 billion higher.",negative
97,"Q3 total expenses were $22.1 billion, up 19% compared to last year.",negative
98,This includes a $413 million impairment of certain operating leases as part of our ongoing work to align our office facilities footprint with our anticipated operating needs.,negative
99,"In terms of the specific line items, cost of revenue decreased 1% as a reduction in Reality Labs hardware costs was offset by growth in infrastructure and content-related expenses.",positive
100,R&D increased 45% mainly driven by hiring within Family of Apps and Reality Labs segments as well as Reality Labs technology development costs.,negative
101,"Lastly, marketing and sales and G&A increased 6% and 15% respectively, mainly driven by headcount-related costs.",negative
102,"Our pace of hiring slowed in the third quarter, consistent with our previously stated plans.",negative
103,"We added 3,700 net new hires in Q3, down from our Q2 net additions of 5,700 despite Q3 typically being a seasonally stronger hiring period.",negative
104,"We expect hiring to slow dramatically going forward and to hold headcount roughly flat next year relative to current levels, which I will cover in my outlook section.",negative
105,"Third quarter operating income was $5.7 billion, representing a 20% operating margin.",positive
106,Our tax rate was 21%.,neutral
107,Net income was $4.4 billion or $1.64 per share.,neutral
108,"Capital expenditures, including principal payments on finance leases, were $9.5 billion driven by investments in servers, data centers and network infrastructure.",neutral
109,Free cash flow was $173 million.,neutral
110,We repurchased $6.5 billion of our Class A common stock in the third quarter and completed an inaugural debt offering of $10 billion.,positive
111,We ended the quarter with $41.8 billion in cash and marketable securities.,neutral
112,"Moving now to our segment results, I’ll begin with our Family of Apps segment.",neutral
113,Our community across the Family of Apps continues to grow.,positive
114,We estimate that approximately 2.9 billion people used at least one of our Family of Apps on a daily basis in September and that approximately 3.7 billion people used at least one on a monthly basis.,neutral
115,Facebook continues to grow globally and engagement remains strong.,positive
116,"Facebook daily active users were 1.98 billion, up 3% or 54 million compared to last year.",positive
117,DAUs represented approximately 67% of the 2.96 billion monthly active users in September.,neutral
118,MAUs grew 48 million or 2% compared to last year.,positive
119,"Q3 total Family of Apps revenue was $27.4 billion, down 4%.",negative
120,"Q3 Family of Apps ad revenue was $27.2 billion, down 4%, but up 3% on a constant currency basis.",negative
121,"Consistent with our expectations, the headwind to year-over-year growth from Apple’s ATT changes diminished in Q3 as we lapped the first full quarter post the launch of iOS 14.5.",positive
122,"However, this was offset by weak advertising demand, which we believe continues to be impacted by the uncertain and volatile macroeconomic landscape.",negative
123,"As a result, our Q3 constant currency growth rate was in line with our Q2 rate.",neutral
124,The healthcare and travel verticals were the largest positive contributors to growth in Q3.,positive
125,"However, this was offset by continued softness in other verticals, including online commerce, gaming, financial services and CPG.",negative
126,"On an advertiser size basis, revenue growth from large advertisers remains challenged, while we have seen more resilience among smaller advertisers.",negative
127,Foreign currency was a significant headwind to advertising revenue growth in all international regions.,negative
128,"On a user geography basis, year-over-year ad revenue growth was strongest in Asia-Pacific and rest of world at 6% and 3% respectively, with both regions continuing to benefit meaningfully from strong growth in click-to-messaging ads.",positive
129,North America and Europe declined 3% and 16% respectively.,negative
130,"In Q3, the total number of ad impressions served across our services increased 17% and the average price per ad decreased 18%.",positive
131,Impression growth was driven by Asia-Pacific and rest of world.,positive
132,"The year-over-year decline in pricing was primarily driven by strong impression growth, especially from lower monetizing surfaces and regions, foreign currency depreciation and lower advertiser demand.",positive
133,"Family of Apps other revenue was $192 million, up 9%, driven by strong business messaging growth from our WhatsApp business platform, partially offset by a decline in other line items.",positive
134,We continue to direct the majority of our investments towards the development and operation of our Family of Apps.,neutral
135,"In Q3, Family of Apps expenses were $18.1 billion, representing 82% of our overall expenses.",neutral
136,"FoA expenses grew 18% driven mostly by employee-related costs, infrastructure-related costs and the impairment of certain operating leases for office facilities that we plan to exit.",negative
137,"Family of Apps operating income was $9.3 billion, representing a 34% operating margin.",neutral
138,"Within our Reality Labs segment, Q3 revenue was $285 million, down 49% due to lower Quest 2 sales.",negative
139,"Reality Labs expenses were $4 billion, up 24% due primarily to employee-related costs and technology development expenses.",negative
140,Reality Labs operating loss was $3.7 billion.,negative
141,"Turning now to the outlook, we expect fourth quarter total revenue to be in the range of $30 billion to $32.5 billion.",neutral
142,Our guidance assumes foreign currency will be an approximately 7% headwind to year-over-year total revenue growth in the fourth quarter based on current exchange rates.,negative
143,"Before turning to the expense outlook, I wanted to provide some context on the approach we are taking towards setting our 2023 budget.",neutral
144,We are making significant changes across the board to operate more efficiently.,positive
145,"We are holding some teams flat in terms of headcount, shrinking others and investing headcount growth only in our highest priorities.",positive
146,"As a result, we expect headcount at the end of 2023 will be approximately in line with third quarter 2022 levels.",neutral
147,We have increased scrutiny on all areas of operating expenses.,positive
148,"However, these moves follow a substantial investment cycle, so they will take time to play out in terms of our overall expense trajectory.",negative
149,"Some steps, like the ongoing rationalization of our office footprint, will lead to incremental costs in the near-term.",negative
150,This should set us up well for future years when we expect to return to higher rates of revenue growth.,positive
151,"Turning now to the specific expense outlook for ’22 and ’23, we expect 2022 total expenses to be in the range of $85 billion to $87 billion updated from our prior outlook of $85 billion to $88 billion.",neutral
152,This includes an estimated $900 million in additional charges in Q4 related to consolidating our office facilities footprint that we expect to record in the fourth quarter of 2022.,neutral
153,We anticipate our full year 2023 total expenses will be in the range of $96 billion to $101 billion.,neutral
154,This includes an estimated $2 billion in charges related to consolidating our office facilities footprint.,neutral
155,"We expect the slight majority of our 2023 expense dollar growth to be driven by operating expenses, with the remaining growth coming from cost of revenue.",neutral
156,We expect the percentage growth rate of 2023 operating expenses to decelerate meaningfully as we curtail non-headcount related expense growth and keep 2023 headcount roughly flat with current levels.,negative
157,"Conversely, our growth in cost of revenue is expected to accelerate driven by infrastructure-related expenses, and to a lesser extent, Reality Labs hardware costs driven by the launch of our next generation of our consumer Quest headset later next year.",negative
158,Reality Labs expenses are included in our total expense guidance.,neutral
159,We do anticipate that Reality Labs operating losses in 2023 will grow significantly year-over-year.,negative
160,"Beyond 2023, we expect to pace Reality Labs investments such that we can achieve our goal of growing overall company operating income in the long run.",positive
161,"Before turning to our CapEx outlook, I’d like to provide some context on our infrastructure investment approach.",neutral
162,"We are currently going through an investment cycle, which is being driven – which is primarily driven by two large areas of investment.",neutral
163,"First, we are significantly expanding our AI capacity.",positive
164,These investments are driving substantially all of our capital expenditure growth in 2023.,positive
165,There is some increased capital intensity that comes with moving more of our infrastructure to AI.,neutral
166,"It requires more expensive servers and networking equipment, and we are building new data centers specifically equipped to support next-generation AI hardware.",positive
167,"We expect these investments to provide us a technology advantage and unlock meaningful improvements across many of our key initiatives, including Feed, Reels and Ads.",positive
168,"We are carefully evaluating the return we achieved from these investments, which will inform the scale of our AI investment beyond 2023.",neutral
169,"Second, we are making ongoing investments in our data center footprint.",neutral
170,"In recent years, we have stepped up our investment in bringing more data center capacity online.",neutral
171,And that work is ongoing in 2023.,neutral
172,"We believe the additional data center capacity will provide us greater flexibility with the types of servers we purchase and allow us to use them for longer, which we expect to generate greater cost efficiencies over time.",positive
173,"These investments, along with revenue headwinds, are contributing to higher capital expenditures as a percentage of revenue in 2022 and 2023 than we expect over the long-term.",negative
174,Turning now to the specific CapEx outlook for ’22 and ’23.,neutral
175,"We expect 2022 capital expenditures, including principal payments on finance leases, to be in the range of $32 billion to $33 billion updated from our prior range of $30 billion to $34 billion.",neutral
176,"For 2023, we expect capital expenditures to be in the range of $34 billion to $39 billion driven by our investments in data center servers and network infrastructure.",neutral
177,An increase in AI capacity is driving substantially all of our capital expenditure growth in 2023.,neutral
178,Turning to tax.,neutral
179,"Absent any changes to U.S. tax law, we expect our fourth quarter 2022 and our full year 2023 tax rate to be similar to the third quarter 2022 rate.",neutral
180,"In addition, as noted on previous calls, we continue to monitor developments regarding the viability of transatlantic data transfers and their potential impact on our European operations.",neutral
181,"In closing, we are pleased with the growth of the community using our Family of Apps and the engagement improvements we are driving with efforts such as Reels and our AI-powered content recommendations.",positive
182,"While we are facing near-term headwinds on revenue, the fundamentals are there for a return to stronger top line growth.",positive
183,"We are approaching 2023 with a focus on efficiency and spending discipline, and I’m optimistic that these moves will set us up well to achieve our goal of driving operating income growth over the long-term while investing for future growth.",positive
184,"On a personal note, I’ll be closing out a decade at Meta in the next couple of weeks, including the last 8 years as CFO.",neutral
185,"In my new role, I’m looking forward to continuing to help the company achieve its long-term mission and execute on its financial plan.",positive
186,"I couldn’t be happier to hand off the CFO role to Susan Li, who is one of the most talented executives that I’ve had a chance to work with in my long career in finance and tech.",positive
